mes,torre,infracoes,regulamento,artigo.paragrafo,art-par-inc
1 janeiro,7 - NOVA IORQUE,estacionar veiculo em vaga simples,garagem,3.5,"As 112 (cento e doze) vagas simples (unitárias) deverão ser utilizadas por um único veículo de cada uma das 112 unidades que tem direito a uma vaga, também nos termos do caput, sejam motocicletas ou carros, sendo vedada a utilização destas por proprietários de unidades que tem direito a duas vagas."
1 janeiro,7 - NOVA IORQUE,estacionar veiculo em vaga simples,garagem,3.5,"As 112 (cento e doze) vagas simples (unitárias) deverão ser utilizadas por um único veículo de cada uma das 112 unidades que tem direito a uma vaga, também nos termos do caput, sejam motocicletas ou carros, sendo vedada a utilização destas por proprietários de unidades que tem direito a duas vagas."
1 janeiro,7 - NOVA IORQUE,Veiculo sem identificação,garagem,4.0,"fica obrigatório o uso do cartão de identificação para entrar e permanecer no Condomínio, tanto para os condôminos que possuem carros, quanto os condôminos que possuem motocicletas, devendo ambos serem identificados visualmente por seguranças."
1 janeiro,6 - VENEZA,utilizacao de mais vagas que permitido,garagem,3.4,"As vagas duplas tipo 'gaveta' deverão ser utilizadas por até 2 (dois) veículos da mesma unidade condominial dentro de seus limites demarcados, nos termos do caput, sejam motocicletas ou carros, sendo vedada a utilização destas por proprietários de unidades que tem direito à apenas uma vaga."
1 janeiro,2 - CANNES,liberação pelo portão de morador,Geral II - Portaria,9.0,"Nenhum estranho poderá ingressar no Condomínio sem ser previamente identificado e autorizado pelo condômino, por escrito ou verbalmente ficando registrado o acesso."
1 janeiro,6 - VENEZA,Veiculo sem identificação,garagem,4.3,"O cartão de identificação ou qualquer outro meio de controle de acesso a ser utilizado pelo condomínio é de uso pessoal e intransferível , de modo que sua utilização indevida é passível de bloqueio e imposição de multa"
1 janeiro,5 - MAR DEL PLATA,Estacionar na vaga carga e descarga por mais de 30 minutos,garagem,9.1,"Condôminos também poderão utilizar a vaga de CARGA/DESCARGA com pisca alerta ligado por 30 minutos, sem seguida deslocar os veículos para suas respectivas vagas"
2 fevereiro,5 - MAR DEL PLATA,estacionar veiculo em vaga simples,garagem,3.5,"As 112 (cento e doze) vagas simples (unitárias) deverão ser utilizadas por um único veículo de cada uma das 112 unidades que tem direito a uma vaga, também nos termos do caput, sejam motocicletas ou carros, sendo vedada a utilização destas por proprietários de unidades que tem direito a duas vagas."
2 fevereiro,5 - MAR DEL PLATA,"cair da unidade quaisquer objetos, líquidos, pontas de cigarro, restos ou lixos para vizinhos, gardens ou áreas comuns",Geral III - Unidades Autonomas,28.0,"É vedado lançar papéis, pontas de cigarro, fragmento de lixo, líquidos e quaisquer objetos pelas janelas , terraços e outras aberturas, para via pública, gardens (jardins privativos) de unidades térreas ou áreas comuns do edifício"
2 fevereiro,5 - MAR DEL PLATA,"cair da unidade quaisquer objetos, líquidos, pontas de cigarro, restos ou lixos para vizinhos, gardens ou áreas comuns",Geral III - Unidades Autonomas,28.0,"É vedado lançar papéis, pontas de cigarro, fragmento de lixo, líquidos e quaisquer objetos pelas janelas , terraços e outras aberturas, para via pública, gardens (jardins privativos) de unidades térreas ou áreas comuns do edifício"
2 fevereiro,1 - GRAMADO,Veiculo sem identificação,garagem,4.0,"fica obrigatório o uso do cartão de identificação para entrar e permanecer no Condomínio, tanto para os condôminos que possuem carros, quanto os condôminos que possuem motocicletas, devendo ambos serem identificados visualmente por seguranças."
2 fevereiro,1 - GRAMADO,Veiculo sem identificação,garagem,4.0,"fica obrigatório o uso do cartão de identificação para entrar e permanecer no Condomínio, tanto para os condôminos que possuem carros, quanto os condôminos que possuem motocicletas, devendo ambos serem identificados visualmente por seguranças."
2 fevereiro,4 - HAVANA,liberação pelo portão de morador,Geral II - Portaria,9.0,"Nenhum estranho poderá ingressar no Condomínio sem ser previamente identificado e autorizado pelo condômino, por escrito ou verbalmente ficando registrado o acesso."
2 fevereiro,7 - NOVA IORQUE,estacionar veiculo em vaga simples,garagem,3.5,"As 112 (cento e doze) vagas simples (unitárias) deverão ser utilizadas por um único veículo de cada uma das 112 unidades que tem direito a uma vaga, também nos termos do caput, sejam motocicletas ou carros, sendo vedada a utilização destas por proprietários de unidades que tem direito a duas vagas."
2 fevereiro,2 - CANNES,estacionar veiculo em vaga simples,garagem,3.5,"As 112 (cento e doze) vagas simples (unitárias) deverão ser utilizadas por um único veículo de cada uma das 112 unidades que tem direito a uma vaga, também nos termos do caput, sejam motocicletas ou carros, sendo vedada a utilização destas por proprietários de unidades que tem direito a duas vagas."
2 fevereiro,5 - MAR DEL PLATA,estacionar veiculo em vaga simples,garagem,3.5,"As 112 (cento e doze) vagas simples (unitárias) deverão ser utilizadas por um único veículo de cada uma das 112 unidades que tem direito a uma vaga, também nos termos do caput, sejam motocicletas ou carros, sendo vedada a utilização destas por proprietários de unidades que tem direito a duas vagas."
2 fevereiro,5 - MAR DEL PLATA,Veiculo sem identificação,garagem,4.0,"fica obrigatório o uso do cartão de identificação para entrar e permanecer no Condomínio, tanto para os condôminos que possuem carros, quanto os condôminos que possuem motocicletas, devendo ambos serem identificados visualmente por seguranças."
3 marco,3 - BERLIM,estender itens em áreas visíveis do exterior da unidade,Geral I - Disposições Gerais,18.2,"Não será permitido estender roupas, tapetes e peças em geral, nas sacadas ou outros locais visíveis do exterior das unidades."
3 marco,1 - GRAMADO,estender itens em áreas visíveis do exterior da unidade,Geral I - Disposições Gerais,18.2,"Não será permitido estender roupas, tapetes e peças em geral, nas sacadas ou outros locais visíveis do exterior das unidades."
3 marco,5 - MAR DEL PLATA,Qrcode para entrega,Geral II - Portaria,10.0,"Não será permitida a entrada de entregadores, vendedores ambulantes, pedintes e outros, com exceção do pessoal contratado pelo condomínio para manutenção de bombas, tv a cabo, elevadores, entre outros, bem como funcionários credenciados e identificados das concessionárias de serviços públicos mediante identificação prévia pelo zelador."
3 marco,4 - HAVANA,estender itens em áreas visíveis do exterior da unidade,Geral I - Disposições Gerais,18.2,"Não será permitido estender roupas, tapetes e peças em geral, nas sacadas ou outros locais visíveis do exterior das unidades."
3 marco,3 - BERLIM,instalação irregular,Geral I - Disposições Gerais,18.0,"É proibido alterar a forma ou aspecto externo da fachada, pintar ou decorar as paredes, portas e esquadrias externas com cores ou tonalidades diversas já utilizadas no condomínio. Não podem ser forrados os vidros das janelas com papéis, plásticos ou similares de qualquer tipo, inclusive película, exceto nos banheiros que deverão ser aprovados previamente pela administração."
3 marco,2 - CANNES,liberação pelo portão de morador,Geral II - Portaria,9.0,"Nenhum estranho poderá ingressar no Condomínio sem ser previamente identificado e autorizado pelo condômino, por escrito ou verbalmente ficando registrado o acesso."
7 julho,2 - CANNES,uso indevido das áreas comuns,Geral VI - Partes Comuns,47.0,"É dever de todos os condôminos utilizar as áreas e instalações comuns , unicamente para os fins a que se destinam, observando os cuidados necessários à sua conservação e manutenção, evitando, de modo especial, riscar ou sujar a pintura das paredes e portas. Os infratores deste artigo estão sujeitos à multa, além do reparo ao que for danificado."
3 marco,2 - CANNES,não recolheu dejetos,Geral IV - Animais Domésticos,38.0,"Os condôminos que mantiverem animais serão responsáveis pela reparação de estragos causados pelos mesmos, bem como pela imediata remoção de excrementos sob pena de multa progressiva"
3 marco,5 - MAR DEL PLATA,Qrcode para entrega,Geral II - Portaria,10.0,"Não será permitida a entrada de entregadores, vendedores ambulantes, pedintes e outros, com exceção do pessoal contratado pelo condomínio para manutenção de bombas, tv a cabo, elevadores, entre outros, bem como funcionários credenciados e identificados das concessionárias de serviços públicos mediante identificação prévia pelo zelador."
3 marco,8 - LOS ANGELES,não retirou a mercadoria,Geral II - Portaria,10.0,"Os condôminos tem prazo de até 2 (dois) dias úteis para a retirada de pacotes, podendo deixar outro condômino autorizado por escrito em impresso próprio a retirar, sob sua responsabilidade. A inobservância do prazo para retirada iniciado da ciência inequivoca da chegada do pacote, seja por interfone, telefone, aplicativo ou e-mail, enseja a aplicação de advertência escrita e, em caso de reincidência, multa."
3 marco,4 - HAVANA,veiculo de visitante estacionado em vaga de morador,garagem,3.1,"As vagas destinadas as unidades condominiais são de uso exclusivo dos condôminos sendo vedado o uso de terceiros, inclusive visitantes e prestadores de serviço, sob pena de multa."
3 marco,8 - LOS ANGELES,não recolheu dejetos,Geral IV - Animais Domésticos,38.0,"Os condôminos que mantiverem animais serão responsáveis pela reparação de estragos causados pelos mesmos, bem como pela imediata remoção de excrementos sob pena de multa progressiva"
3 marco,4 - HAVANA,liberação pelo portão de morador - visitantes ou prestadores,Geral II - Portaria,9.0,"Nenhum estranho poderá ingressar no Condomínio sem ser previamente identificado e autorizado pelo condômino, por escrito ou verbalmente ficando registrado o acesso."
3 marco,8 - LOS ANGELES,não retirou mercadoria,Geral II - Portaria,14.3,"Os condôminos tem prazo de até 2 (dois) dias úteis para a retirada de pacotes, podendo deixar outro condômino autorizado por escrito em impresso próprio a retirar, sob sua responsabilidade. A inobservância do prazo para retirada iniciado da ciência inequivoca da chegada do pacote, seja por interfone, telefone, aplicativo ou e-mail, enseja a aplicação de advertência escrita e, em caso de reincidência, multa."
4 abril,5 - MAR DEL PLATA,Estacionar na vaga carga e descarga por mais de 30 minutos,garagem,9.1,"Condôminos também poderão utilizar a vaga de CARGA/DESCARGA com pisca alerta ligado por 30 minutos, sem seguida deslocar os veículos para suas respectivas vagas"
4 abril,5 - MAR DEL PLATA,Veiculo sem identificação,garagem,4.3,"Condôminos também poderão utilizar a vaga de CARGA/DESCARGA com pisca alerta ligado por 30 minutos, sem seguida deslocar os veículos para suas respectivas vagas"
4 abril,5 - MAR DEL PLATA,estacionar veiculo em vaga simples,garagem,3.5,"As 112 (cento e doze) vagas simples (unitárias) deverão ser utilizadas por um único veículo de cada uma das 112 unidades que tem direito a uma vaga, também nos termos do caput, sejam motocicletas ou carros, sendo vedada a utilização destas por proprietários de unidades que tem direito a duas vagas."
4 abril,5 - MAR DEL PLATA,não recolheu dejetos,Geral IV - Animais Domésticos,38.0,"Os condôminos que mantiverem animais serão responsáveis pela reparação de estragos causados pelos mesmos, bem como pela imediata remoção de excrementos sob pena de multa progressiva"
4 abril,7 - NOVA IORQUE,estacionar veiculo em vaga simples,garagem,3.5,"As 112 (cento e doze) vagas simples (unitárias) deverão ser utilizadas por um único veículo de cada uma das 112 unidades que tem direito a uma vaga, também nos termos do caput, sejam motocicletas ou carros, sendo vedada a utilização destas por proprietários de unidades que tem direito a duas vagas."
4 abril,3 - BERLIM,Veiculo sem identificação,garagem,4.3,"O cartão de identificação ou qualquer outro meio de controle de acesso a ser utilizado pelo condomínio é de uso pessoal e intransferível , de modo que sua utilização indevida é passível de bloqueio e imposição de multa"
4 abril,2 - CANNES,Veiculo sem identificação,garagem,4.3,"O cartão de identificação ou qualquer outro meio de controle de acesso a ser utilizado pelo condomínio é de uso pessoal e intransferível , de modo que sua utilização indevida é passível de bloqueio e imposição de multa"
4 abril,2 - CANNES,estacionar veiculo em vaga simples,garagem,3.5,"As 112 (cento e doze) vagas simples (unitárias) deverão ser utilizadas por um único veículo de cada uma das 112 unidades que tem direito a uma vaga, também nos termos do caput, sejam motocicletas ou carros, sendo vedada a utilização destas por proprietários de unidades que tem direito a duas vagas."
4 abril,5 - MAR DEL PLATA,reserva de vaga,garagem,3.0,"As vagas de garagem destinam-se especificamente a guarda de veículos (passeio e utilitários) e motocicletas sendo vedado o uso diverso, como para depósito de pertences quaisquer, como mobilia, bicicletas, patinetes, etc."
4 abril,3 - BERLIM,não recolheu dejetos,Geral IV - Animais Domésticos,38.0,"Os condôminos que mantiverem animais serão responsáveis pela reparação de estragos causados pelos mesmos, bem como pela imediata remoção de excrementos sob pena de multa progressiva"
4 abril,7 - NOVA IORQUE,não recolheu dejetos,Geral IV - Animais Domésticos,38.0,"Os condôminos que mantiverem animais serão responsáveis pela reparação de estragos causados pelos mesmos, bem como pela imediata remoção de excrementos sob pena de multa progressiva"
4 abril,3 - BERLIM,instalação irregular,Geral I - Disposições Gerais,18.0,"É proibido alterar a forma ou aspecto externo da fachada, pintar ou decorar as paredes, portas e esquadrias externas com cores ou tonalidades diversas já utilizadas no condomínio. Não podem ser forrados os vidros das janelas com papéis, plásticos ou similares de qualquer tipo, inclusive película, exceto nos banheiros que deverão ser aprovados previamente pela administração."
5 maio,8 - LOS ANGELES,não recolheu dejetos,Geral IV - Animais Domésticos,38.0,"Os condôminos que mantiverem animais serão responsáveis pela reparação de estragos causados pelos mesmos, bem como pela imediata remoção de excrementos sob pena de multa progressiva"
5 maio,7 - NOVA IORQUE,estacionar veiculo em vaga simples,garagem,3.5,"As 112 (cento e doze) vagas simples (unitárias) deverão ser utilizadas por um único veículo de cada uma das 112 unidades que tem direito a uma vaga, também nos termos do caput, sejam motocicletas ou carros, sendo vedada a utilização destas por proprietários de unidades que tem direito a duas vagas."
5 maio,5 - MAR DEL PLATA,Estacionar na vaga carga e descarga por mais de 30 minutos,garagem,9.1,"Condôminos também poderão utilizar a vaga de CARGA/DESCARGA com pisca alerta ligado por 30 minutos, sem seguida deslocar os veículos para suas respectivas vagas"
5 maio,7 - NOVA IORQUE,Estacionar veiculo fora da vaga,garagem,17.0,É expressamente proibido estacionar o veículo fora das delimitações da vaga própria de forma a obstruir as vagas vizinhas ou a pista de manobra e circulação
5 maio,1 - GRAMADO,Estacionar em vaga de visitante,garagem,3.2,"As vagas de visitantes não poderão ser usadas pelos condôminos como vaga adcional sob pena de multa e só podem ser usadas pelos visitantes após cadastro na portaria, devendo o veiculo manter a identificação visísel. O tempo do cadastro terá validade de sete dias, caso o visitante permaneça no condomínio por um tempo maior, deverá recadastrar o veículo na portaria"
5 maio,8 - LOS ANGELES,Estacionar em vaga de visitante,garagem,3.2,"As vagas de visitantes não poderão ser usadas pelos condôminos como vaga adcional sob pena de multa e só podem ser usadas pelos visitantes após cadastro na portaria, devendo o veiculo manter a identificação visísel. O tempo do cadastro terá validade de sete dias, caso o visitante permaneça no condomínio por um tempo maior, deverá recadastrar o veículo na portaria"
5 maio,6 - VENEZA,som alto,garagem,7.0,"No período das 22:00hs às 08:00hs da manhã, cumpre aos moradores guardar silêncio, evitando a produção de ruídos ou sons que possam perturbar o sossego e o bem estar dos demais moradores do edifício, observando-se nos demais horários, evitar ruídos excesssivos"
5 maio,2 - CANNES,estacionar veiculo em vaga simples,garagem,3.5,"As 112 (cento e doze) vagas simples (unitárias) deverão ser utilizadas por um único veículo de cada uma das 112 unidades que tem direito a uma vaga, também nos termos do caput, sejam motocicletas ou carros, sendo vedada a utilização destas por proprietários de unidades que tem direito a duas vagas."
5 maio,7 - NOVA IORQUE,Estacionar em vaga de visitante,garagem,3.2,"As vagas de visitantes não poderão ser usadas pelos condôminos como vaga adcional sob pena de multa e só podem ser usadas pelos visitantes após cadastro na portaria, devendo o veiculo manter a identificação visísel. O tempo do cadastro terá validade de sete dias, caso o visitante permaneça no condomínio por um tempo maior, deverá recadastrar o veículo na portaria"
5 maio,6 - VENEZA,estacionar veiculo em vaga simples,garagem,3.5,"As 112 (cento e doze) vagas simples (unitárias) deverão ser utilizadas por um único veículo de cada uma das 112 unidades que tem direito a uma vaga, também nos termos do caput, sejam motocicletas ou carros, sendo vedada a utilização destas por proprietários de unidades que tem direito a duas vagas."
5 maio,6 - VENEZA,Estacionar em vaga de visitante,garagem,3.2,"As vagas de visitantes não poderão ser usadas pelos condôminos como vaga adcional sob pena de multa e só podem ser usadas pelos visitantes após cadastro na portaria, devendo o veiculo manter a identificação visísel. O tempo do cadastro terá validade de sete dias, caso o visitante permaneça no condomínio por um tempo maior, deverá recadastrar o veículo na portaria"
